54.209.46.155 - - [11/Jul/2016:06:29:48 +0000] "POST /moves/notify/new_measurements_available/ HTTP/1.1" 200 4426 "-" "Moves API"
54.209.46.155 - - [11/Jul/2016:06:32:42 +0000] "POST /moves/notify/new_measurements_available/ HTTP/1.1" 200 4426 "-" "Moves API"
54.209.46.155 - - [11/Jul/2016:06:33:41 +0000] "POST /moves/notify/new_measurements_available/ HTTP/1.1" 200 4426 "-" "Moves API"
54.90.182.88 - - [11/Jul/2016:06:34:51 +0000] "POST /jawbone/notify/new_measurements_available/ HTTP/1.1" 200 4536 "-" "python-requests/2.9.1"
54.209.46.155 - - [11/Jul/2016:06:35:02 +0000] "POST /moves/notify/new_measurements_available/ HTTP/1.1" 200 4426 "-" "Moves API"
89.30.121.171 - - [11/Jul/2016:06:35:11 +0000] "POST /withings/notify/new_measurements_available/pulse/ HTTP/1.1" 200 4305 "-" "-"
89.30.121.171 - - [11/Jul/2016:06:35:12 +0000] "POST /withings/notify/new_measurements_available/sleep/ HTTP/1.1" 200 4305 "-" "-"
89.30.121.171 - - [11/Jul/2016:06:35:12 +0000] "POST /withings/notify/new_measurements_available/pulse/ HTTP/1.1" 200 4305 "-" "-"
89.30.121.171 - - [11/Jul/2016:06:36:13 +0000] "POST /withings/notify/new_measurements_available/pulse/ HTTP/1.1" 200 4305 "-" "-"
89.30.121.171 - - [11/Jul/2016:06:36:13 +0000] "POST /withings/notify/new_measurements_available/pulse/ HTTP/1.1" 200 4305 "-" "-"
89.30.121.171 - - [11/Jul/2016:06:36:14 +0000] "POST /withings/notify/new_measurements_available/pulse/ HTTP/1.1" 200 4305 "-" "-"
89.30.121.171 - - [11/Jul/2016:06:36:14 +0000] "POST /withings/notify/new_measurements_available/sleep/ HTTP/1.1" 200 4305 "-" "-"
89.30.121.145 - - [11/Jul/2016:06:39:12 +0000] "POST /withings/notify/new_measurements_available/pulse/ HTTP/1.1" 200 4305 "-" "-"
89.30.121.171 - - [11/Jul/2016:06:39:21 +0000] "POST /withings/notify/new_measurements_available/pulse/ HTTP/1.1" 200 4305 "-" "-"
89.30.121.171 - - [11/Jul/2016:06:39:22 +0000] "POST /withings/notify/new_measurements_available/pulse/ HTTP/1.1" 200 4305 "-" "-"
89.30.121.171 - - [11/Jul/2016:06:39:22 +0000] "POST /withings/notify/new_measurements_available/sleep/ HTTP/1.1" 200 4305 "-" "-"
54.209.46.155 - - [11/Jul/2016:06:39:32 +0000] "POST /moves/notify/new_measurements_available/ HTTP/1.1" 200 4426 "-" "Moves API"
169.45.146.201 - - [11/Jul/2016:06:42:15 +0000] "POST /fitbit/notify/new_measurements_available/ HTTP/1.1" 204 4458 "-" "-"
5.9.111.70 - - [11/Jul/2016:06:45:05 +0000] "GET /robots.txt HTTP/1.0" 404 4340 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
5.9.111.70 - - [11/Jul/2016:06:45:06 +0000] "GET / HTTP/1.1" 302 628 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
5.9.111.70 - - [11/Jul/2016:06:45:07 +0000] "GET /frontpage/ HTTP/1.1" 200 18303 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
54.209.46.155 - - [11/Jul/2016:06:45:47 +0000] "POST /moves/notify/new_measurements_available/ HTTP/1.1" 200 4426 "-" "Moves API"
54.209.46.155 - - [11/Jul/2016:06:45:58 +0000] "POST /moves/notify/new_measurements_available/ HTTP/1.1" 200 4426 "-" "Moves API"
89.30.121.171 - - [11/Jul/2016:06:46:20 +0000] "POST /withings/notify/new_measurements_available/pulse/ HTTP/1.1" 200 4305 "-" "-"
89.30.121.171 - - [11/Jul/2016:06:46:20 +0000] "POST /withings/notify/new_measurements_available/sleep/ HTTP/1.1" 200 4305 "-" "-"
89.30.121.171 - - [11/Jul/2016:06:46:21 +0000] "POST /withings/notify/new_measurements_available/pulse/ HTTP/1.1" 200 4305 "-" "-"
169.45.134.250 - - [11/Jul/2016:06:47:27 +0000] "POST /fitbit/notify/new_measurements_available/ HTTP/1.1" 204 4458 "-" "-"
54.209.46.155 - - [11/Jul/2016:06:48:53 +0000] "POST /moves/notify/new_measurements_available/ HTTP/1.1" 200 4426 "-" "Moves API"
89.30.121.145 - - [11/Jul/2016:06:48:53 +0000] "POST /withings/notify/new_measurements_available/pulse/ HTTP/1.1" 200 4305 "-" "-"
89.30.121.145 - - [11/Jul/2016:06:48:53 +0000] "POST /withings/notify/new_measurements_available/sleep/ HTTP/1.1" 200 4305 "-" "-"
